Wafer_ID,Batch_ID,Timestamp,Chamber_Vacuum_Torr,Gas_Flow_SiH4_sccm,RF_Reflected_Power_W,Plasma_Density_e11_cm3,Etch_Rate_A_min,CMP_Pad_Wear_um,Deposition_Temp_C,Photolitho_Dose_mJ_cm2,Leakage_Current_uA,Chamber_Pressure_mTorr,Wafer_Thickness_um,Wafer_Bow_um,Gate_Oxide_Thickness_A,Particle_Count_10nm,Wafer_Resistivity_Ohm_cm,Yield_Status
WFR-1001,FAB-BATCH-101,01-08-2026 08:00,1.2699,153.5,427.11,11.829,2155.4,18.45,356.12,25.73,0.0641,12.22,774.64,11.41,45.48,16,1.605,0
WFR-1002,FAB-BATCH-101,01-08-2026 08:28,1.2445,147.52,439.68,11.553,2174.8,15.79,358.59,25.57,0.0275,12.12,774.92,13.62,43.83,14,1.84,0
WFR-1003,FAB-BATCH-101,01-08-2026 08:56,1.2759,146.32,445.04,11.391,2162.3,17.61,353.99,25.12,0.0461,12.38,775.16,11.67,46.04,18,1.836,0
WFR-1004,FAB-BATCH-101,01-08-2026 09:24,1.3109,149.98,472.65,12.789,2178.1,16.85,334.46,24.56,0.0495,12.27,777.37,11.37,44.11,11,1.899,0
WFR-1005,FAB-BATCH-101,01-08-2026 09:52,1.2406,,456.68,12.35,2191.4,15.87,348.76,24.52,0.0502,12.36,773.13,13.14,46.12,12,1.798,0
WFR-1006,FAB-BATCH-101,01-08-2026 10:20,1.2406,147.96,433.97,12.766,2233.5,13.27,340.75,25.11,0.0522,12.68,772.88,13.96,44.59,12,1.773,0
WFR-1007,FAB-BATCH-101,01-08-2026 10:48,1.3132,153.13,455.83,12.983,2187.2,18.71,348.38,24.19,0.0573,12.44,778.09,13.09,42.42,11,1.849,0
WFR-1008,FAB-BATCH-101,01-08-2026 11:16,1.2807,154.3,431.43,12.686,2136.6,17.3,357.84,22.99,0.0496,11.92,773.84,12.52,43.53,12,1.689,0
WFR-1009,FAB-BATCH-101,01-08-2026 11:44,1.2312,150.4,462.99,12.96,2245.6,17.8,352.44,24.89,0.0456,11.44,771.84,12.87,44.35,15,1.864,0
WFR-1010,FAB-BATCH-101,01-08-2026 12:12,1.2717,156.65,444.35,12.451,2166.5,18.95,359.18,23.6,0.0451,12.83,773.79,12.66,47.05,18,1.664,0
